-0.869888476,4.64E-11,,,,,,,
-0.823048327,1.38E-10,,,,,,,
-0.782899628,2.72E-10,,,,,,,
-0.738289963,4.90E-10,,,,,,,
-0.693680297,8.09E-10,,,,,,,
-0.651301115,1.19E-09,,log10(I),,,SS(mV/dec),DIBL(mV/V),Cg
-0.608921933,2.02E-09,,,,3.785611538,264.1581129,420.5542725,0.01046404
-0.564312268,3.04E-09,,,,,,,
-0.519702602,4.74E-09,,,,,,,
-0.475092937,7.37E-09,,-8.132532512,,,,,
-0.432713755,1.08E-08,,,,,Cs+Cd,Cd,Cs
-0.388104089,1.73E-08,,,,,0.035605311,0.004400697,0.031204614
-0.345724907,2.46E-08,,,,,,,
-0.303345725,3.61E-08,,,,,,,
-0.260966543,4.99E-08,,,,,,,
-0.216356877,7.11E-08,,,,,,,
-0.171747212,1.17E-07,,,,,,,
-0.127137546,1.53E-07,,-6.815308569,,,,,
-0.084758364,2.17E-07,,,,,,,
-0.040148699,3.19E-07,,,,,,,
0.002230483,5.11E-07,,,,,,,
0.046840149,7.27E-07,,,,,,,
0.089219331,9.48E-07,,,,,,,
0.133828996,1.07E-06,,,,,,,
0.176208178,1.27E-06,,,,,,,
0.220817844,1.51E-06,,,,,,,
0.263197026,1.65E-06,,,,,,,
0.307806691,1.80E-06,,,,,,,
0.350185874,2.09E-06,,,,,,,
0.394795539,2.09E-06,,,,,,,
0.439405204,2.21E-06,,,,,,,
0.481784387,2.41E-06,,,,,,,
0.524163569,2.79E-06,,,,,,,
0.568773234,2.88E-06,,,,,,,
